arm,run,class,bytes,engine_elapsed_ns,real_s,user_s,sys_s,max_rss_bytes,page_reclaims,page_faults,voluntary_context_switches,involuntary_context_switches,instructions,cycles
go-pure-portable-tcp,01,warmup,536870912,736848167,1.39,0.77,0.60,439828480,34975,25792,1236,29904,10081072221,4818866922
go-pure-portable-tcp,02,sample,536870912,779719792,0.78,0.76,0.64,454672384,34981,26176,997,31267,10205226813,5019950011
go-pure-portable-tcp,03,sample,536870912,844182667,0.85,0.76,0.67,471154688,34967,26624,931,33113,10318118844,5125798247
go-pure-portable-tcp,04,sample,536870912,862538666,0.86,0.76,0.69,471482368,34996,27520,1119,34860,10101776360,5216894206
go-pure-portable-tcp,05,sample,536870912,812522459,0.81,0.75,0.64,470974464,34970,27136,960,33144,10082001976,4998856575
go-pure-portable-tcp,06,sample,536870912,877847000,0.88,0.75,0.68,455704576,34994,27712,1069,33166,10302104146,5154907743
go-pure-portable-tcp,07,sample,536870912,729229958,0.73,0.75,0.55,471023616,34946,26816,1120,30114,9954489938,4669221461
go-pure-portable-tcp,08,sample,536870912,734238041,0.74,0.75,0.57,439451648,34946,26176,1272,29315,10063634459,4753290902
go-pure-portable-tcp,09,sample,536870912,725295875,0.73,0.75,0.57,455933952,34987,26944,1043,29853,10038997975,4740700378
go-pure-portable-tcp,10,sample,536870912,725171875,0.73,0.75,0.56,455917568,34988,26624,1168,29020,10013942645,4706666100
rqbit-stable-tcp,01,warmup,,,0.72,0.25,0.62,18071552,1366,0,1888,19038,5026523582,3031261076
rqbit-stable-tcp,02,sample,,,0.74,0.25,0.66,18137088,1368,0,1891,19106,5040277735,3158937837
rqbit-stable-tcp,03,sample,,,0.75,0.25,0.68,17989632,1366,0,1865,19051,5025677449,3216998232
rqbit-stable-tcp,04,failure,,,93.70,0.02,0.02,17416192,1329,0,12,851,95481750,75991262
rqbit-stable-tcp,06,sample,,,0.73,0.25,0.64,17793024,1345,0,1847,19068,5017901307,3093992516
rqbit-stable-tcp,07,sample,,,14.55,0.26,0.63,18333696,971,425,1856,20132,5089307289,3063156105
rqbit-stable-tcp,08,sample,,,15.23,0.26,0.68,17760256,926,435,2016,20241,5103591757,3166651928
go-native-utp,01,warmup,67108864,611728834,0.62,0.25,0.65,96092160,5868,206,282,84077,3936218818,3030085744
go-native-utp,02,sample,67108864,570793167,0.57,0.24,0.60,96452608,5909,190,302,81400,3884792332,2844039529
go-native-utp,03,sample,67108864,629867667,0.63,0.24,0.63,96583680,5919,184,305,80208,3848165246,2959272152
go-native-utp,04,sample,67108864,599186583,0.60,0.25,0.62,96387072,5907,184,282,77865,3848621057,2912449637
go-native-utp,05,sample,67108864,604212333,0.61,0.26,0.61,96550912,5914,187,282,85015,4093742849,2936158366
go-native-utp,06,sample,67108864,627490042,0.63,0.25,0.67,95682560,5862,186,276,83163,3879267357,3077467272
go-native-utp,07,sample,67108864,617232042,0.62,0.25,0.65,96272384,5905,186,290,86488,4034132573,3051211616
go-native-utp,08,sample,67108864,581961250,0.58,0.24,0.60,96796672,5931,186,297,84060,3966220868,2925192786
go-native-utp,09,sample,67108864,566264917,0.57,0.25,0.59,95895552,5879,184,289,86206,3970526833,2870928361
go-native-utp,10,sample,67108864,595784625,0.60,0.25,0.61,96305152,5893,186,284,82357,3863410710,2869981471
go-pure-isolated-utp,01,warmup,67108864,569337792,0.58,0.34,0.63,97976320,5826,366,437,79847,4806811999,3273761092
