arm,run,class,bytes,engine_elapsed_ns,real_s,user_s,sys_s,max_rss_bytes,page_reclaims,page_faults,voluntary_context_switches,involuntary_context_switches,instructions,cycles
classic-ordinary,01,warmup,536870912,1120935459,1.12,0.53,1.00,27983872,2201,1,151,17500,13671880489,5537550901
classic-ordinary,02,sample,536870912,1106821333,1.11,0.53,1.00,28180480,2212,1,217,19278,13738040351,5519254374
classic-ordinary,03,sample,536870912,1169297292,1.17,0.54,1.00,28131328,2210,1,210,20442,13737503496,5537697273
classic-ordinary,04,sample,536870912,1092262667,1.10,0.53,1.03,28311552,2217,1,174,18599,13860459233,5632286182
classic-ordinary,05,sample,536870912,1107116459,1.11,0.53,1.00,28475392,2227,1,195,17836,13586342101,5541179685
classic-ordinary,06,sample,536870912,1137348042,1.14,0.53,1.01,28327936,2217,1,195,18070,13759989341,5560332105
mmap-map,01,warmup,536870912,773488125,0.78,0.67,0.49,517750784,34840,20928,805,18560,9083767154,4014076956
mmap-map,02,sample,536870912,708362125,0.71,0.61,0.43,550043648,34888,12608,750,18890,8431347243,3566934981
mmap-map,03,sample,536870912,753289792,0.76,0.66,0.47,517783552,34843,19392,820,16833,8972145667,3916408354
mmap-map,04,sample,536870912,704849292,0.71,0.61,0.42,550682624,34930,13632,611,17083,8464659157,3557077162
mmap-map,05,sample,536870912,726237292,0.73,0.64,0.45,518012928,34855,17728,805,17341,8789591376,3795663873
mmap-map,06,sample,536870912,729980792,0.73,0.62,0.44,533610496,34849,14016,762,17836,8533668733,3659563739
mmap-stock-persistent,01,warmup,536870912,898999125,0.90,0.82,0.65,470990848,34951,26949,979,32466,9918960529,5073802948
mmap-stock-persistent,02,sample,536870912,834838166,0.84,0.77,0.57,487047168,34967,26817,1031,31727,9850291848,4763869074
mmap-stock-persistent,03,sample,536870912,888162292,0.89,0.78,0.66,502644736,34966,28096,984,33969,10054880327,5092204050
mmap-stock-persistent,04,sample,536870912,832126208,0.83,0.77,0.62,486703104,34951,27840,969,33054,10016620125,4965004078
mmap-stock-persistent,05,sample,536870912,895900000,0.90,0.78,0.72,471302144,34966,27144,1113,34797,10072878375,5348030184
mmap-stock-persistent,06,sample,536870912,895797375,0.90,0.80,0.66,503300096,35009,27905,909,33643,9904093403,5132276987
classic-stock-persistent,01,warmup,536870912,3274737167,3.28,0.59,1.24,29491200,2263,46,10526,31980,14274266977,6509955394
classic-stock-persistent,02,sample,536870912,3382028125,3.39,0.61,1.27,29999104,2328,7,10635,34590,14455401006,6658300813
classic-stock-persistent,03,sample,536870912,4583441750,4.59,0.78,1.51,29949952,2325,10,9214,41542,14855031843,7805174060
classic-stock-persistent,04,sample,536870912,3654744875,3.66,0.78,1.44,30425088,2362,3,7984,35443,14541976897,7566040747
classic-stock-persistent,05,sample,536870912,3592801083,3.60,0.65,1.31,29753344,2317,1,11194,34921,14218826275,6779968051
classic-stock-persistent,06,sample,536870912,3186264750,3.19,0.61,1.23,30441472,2359,4,8926,31707,14108520362,6374421075
